district,year,lat,lng,murder,robbery,thefts,vehicle_theft,burglary,cheating,rape,crime_score
Bhagalpur,2020,25.24,86.97,115,65,434,749,143,231,52,5101
Bhojpur,2020,25.56,84.4,97,66,415,667,158,55,10,4214
Buxar,2020,25.57,83.97,45,20,239,255,85,52,17,1992
Darbhanga,2020,26.15,85.89,71,17,223,423,107,111,23,2796
Gaya,2020,24.79,85.0,165,81,402,1129,166,490,56,7098
Gopalganj,2020,26.47,84.44,88,39,267,318,60,84,9,2477
Munger,2020,25.37,86.47,52,19,214,96,71,32,14,1399
Jamui,2020,24.92,86.22,85,29,123,138,42,19,17,1450
Jehanabad,2020,25.21,84.99,30,19,96,148,49,72,7,1188
Katihar,2020,25.54,87.58,93,46,318,241,56,40,50,2506
Khagaria,2020,25.5,86.47,62,32,145,158,39,69,5,1482
Kishanganj,2020,26.1,87.93,30,17,156,224,19,30,27,1454
Lakhisarai,2020,25.16,86.09,28,6,71,75,35,10,6,686
Madhepura,2020,25.93,86.79,91,75,186,241,51,54,11,2166
Madhubani,2020,26.35,86.07,72,21,198,439,93,42,31,2675
Purbi Champaran,2020,26.65,84.92,154,86,455,1181,208,0,10,6241
Muzaffarpur,2020,26.12,85.39,179,118,953,1387,205,225,39,8694
Nalanda,2020,25.08,85.45,134,60,430,791,174,376,28,5557
Nawada,2020,24.88,85.54,62,20,222,329,64,71,5,2180
Patna,2020,25.59,85.13,211,140,1741,4470,760,1224,71,23590
Rohtas,2020,24.96,83.88,98,77,391,868,202,84,18,5048
Saharsa,2020,25.88,86.6,32,17,201,262,31,42,10,1643
Samastipur,2020,25.86,85.78,85,70,255,536,49,72,21,3219
Saran,2020,25.92,84.75,117,83,517,779,121,259,20,5269
Sheikhpura,2020,25.14,85.84,22,10,49,89,12,21,1,598
Sheohar,2020,26.52,85.3,13,5,51,42,4,24,2,383
Sitamarhi,2020,26.59,85.48,82,56,178,496,140,0,35,3073
Siwan,2020,26.22,84.35,96,76,245,749,117,56,8,4024
Supaul,2020,26.12,86.6,60,59,205,188,42,11,6,1688
Vaishali,2020,25.69,85.21,126,115,311,660,146,0,22,4240
Purnia,2020,25.78,87.47,74,73,309,397,75,46,40,2988
Araria,2021,26.15,87.47,76,62,255,387,35,25,39,2649
Arwal,2021,25.25,84.68,11,14,71,53,14,6,3,481
Aurangabad,2021,24.75,84.37,59,42,155,392,66,117,36,2561
Pashchim Champaran,2021,27.06,84.43,81,31,323,595,93,99,35,3612
Banka,2021,24.88,86.92,52,37,112,163,54,34,6,1381
Begusarai,2021,25.41,86.13,102,104,196,397,107,58,23,3061
Kaimur (Bhabua),2021,25.05,83.61,29,10,179,142,67,33,11,1291
Bhagalpur,2021,25.24,86.97,118,141,410,820,149,198,37,5462
Bhojpur,2021,25.56,84.4,95,72,554,914,170,25,19,5268
Buxar,2021,25.57,83.97,41,27,202,280,92,21,16,1955
Darbhanga,2021,26.15,85.89,57,35,185,563,90,35,27,2959
Gaya,2021,24.79,85.0,129,83,481,1195,202,235,49,6845
Gopalganj,2021,26.47,84.44,77,53,207,624,87,132,11,3463
Munger,2021,25.37,86.47,45,21,342,98,74,107,8,1763
Jamui,2021,24.92,86.22,47,35,121,269,55,0,12,1649
Jehanabad,2021,25.21,84.99,22,20,86,258,37,77,0,1401
Katihar,2021,25.54,87.58,80,47,354,387,46,110,62,3125
Khagaria,2021,25.5,86.47,59,29,159,161,60,89,12,1630
Kishanganj,2021,26.1,87.93,25,28,148,193,21,35,34,1415
Lakhisarai,2021,25.16,86.09,35,10,78,77,50,18,2,798
Madhepura,2021,25.93,86.79,86,126,309,263,43,63,8,2636
Madhubani,2021,26.35,86.07,59,30,258,409,84,38,21,2591
Purbi Champaran,2021,26.65,84.92,155,123,340,1417,127,47,24,6793
Muzaffarpur,2021,26.12,85.39,112,82,1174,1748,262,255,62,10086
Nalanda,2021,25.08,85.45,109,86,449,750,181,342,5,5289
Nawada,2021,24.88,85.54,74,21,192,558,64,97,11,2953
Patna,2021,25.59,85.13,201,180,2597,5820,622,1640,44,29745
Rohtas,2021,24.96,83.88,73,77,350,730,98,160,7,4212
Saharsa,2021,25.88,86.6,45,57,188,294,44,72,7,2022
Samastipur,2021,25.86,85.78,99,95,290,573,80,123,23,3775
Saran,2021,25.92,84.75,115,168,474,1121,156,264,25,6679
Sheikhpura,2021,25.14,85.84,10,13,75,128,27,73,4,883
Sheohar,2021,26.52,85.3,14,9,45,55,24,15,6,493
Sitamarhi,2021,26.59,85.48,62,68,226,766,96,0,17,3705
Siwan,2021,26.22,84.35,97,92,305,952,129,129,13,5029
Supaul,2021,26.12,86.6,33,90,157,230,42,17,11,1744
Vaishali,2021,25.69,85.21,113,111,320,963,223,0,3,5222
Purnia,2021,25.78,87.47,102,93,304,861,91,104,53,4819
Araria,2022,26.15,87.47,82,56,337,415,35,39,28,2876
Arwal,2022,25.25,84.68,16,12,87,82,35,7,7,702
Aurangabad,2022,24.75,84.37,79,37,230,599,73,158,36,3515
Pashchim Champaran,2022,27.06,84.43,75,32,330,828,101,186,25,4447
Banka,2022,24.88,86.92,53,28,160,157,59,43,8,1471
Begusarai,2022,25.41,86.13,110,78,221,432,81,120,15,3158
Kaimur (Bhabua),2022,25.05,83.61,22,10,195,201,61,89,13,1569
Bhagalpur,2022,25.24,86.97,139,119,571,1078,133,190,32,6486
Bhojpur,2022,25.56,84.4,100,63,487,835,160,79,20,4969
Buxar,2022,25.57,83.97,37,14,212,324,75,105,10,2122
Darbhanga,2022,26.15,85.89,64,46,275,799,98,156,21,4162
Gaya,2022,24.79,85.0,144,131,559,1589,239,462,72,9130
