district,year,lat,lng,murder,robbery,thefts,vehicle_theft,burglary,cheating,rape,crime_score
Mahesana,2020,23.59,72.37,26,15,75,111,70,26,10,985
Morbi,2020,22.81,70.84,25,15,20,60,26,7,8,537
Narmada,2020,21.87,73.75,11,3,24,29,12,17,3,287
Navsari,2020,20.95,72.93,17,6,29,37,38,12,5,441
Panch Mahals,2020,22.76,73.6,29,8,57,83,42,23,7,747
Patan,2020,23.85,72.13,19,11,73,99,44,14,20,842
Porbandar,2020,21.64,69.61,10,0,18,16,20,3,3,215
Rajkot,2020,22.3,70.78,58,19,95,285,107,60,40,2052
Sabar Kantha,2020,23.59,73.0,19,2,48,139,35,31,8,823
Surat,2020,21.17,72.83,149,51,654,922,253,413,33,6773
Surendranagar,2020,22.73,71.65,25,9,57,71,37,15,10,679
Tapi,2020,21.19,73.41,11,0,13,16,5,7,3,173
Vadodara,2020,22.31,73.18,57,31,486,486,205,171,37,3981
Valsad,2020,20.6,72.93,17,3,63,91,58,28,10,776
Ahmadabad,2021,23.03,72.58,127,153,1301,1693,424,511,98,11712
Amreli,2021,21.6,71.22,19,8,25,31,42,20,21,541
Anand,2021,22.56,72.95,29,11,92,98,88,62,16,1135
Arvalli,2021,23.58,73.0,14,9,81,109,80,37,10,959
Banas Kantha,2021,24.17,72.43,31,23,66,186,78,73,37,1502
Bharuch,2021,21.7,72.99,43,14,128,210,96,40,18,1615
Bhavnagar,2021,21.76,72.15,34,11,39,74,65,34,21,882
Botad,2021,22.18,71.67,11,1,5,15,12,9,4,188
Chhotaudepur,2021,22.3,74.01,23,2,14,100,29,14,16,646
Gandhinagar,2021,23.22,72.65,20,24,161,215,119,117,10,1804
Dohad,2021,22.84,74.26,23,22,33,123,44,26,13,887
Dang,2021,20.76,73.7,2,0,2,4,2,2,1,41
Devbhumi Dwarka,2021,22.24,68.97,12,2,22,25,13,2,3,245
Gir Somnath,2021,20.9,70.37,14,3,28,23,27,19,14,396
Jamnagar,2021,22.47,70.06,25,8,42,85,60,18,15,787
Junagadh,2021,21.52,70.46,14,5,74,90,74,98,8,966
Kachchh,2021,23.73,70.2,46,46,268,338,221,165,29,3102
Kheda,2021,22.98,72.68,23,7,50,88,56,32,11,794
Mahisagar,2021,23.11,73.47,12,1,23,27,32,15,6,347
