district,year,lat,lng,murder,robbery,thefts,vehicle_theft,burglary,cheating,rape,crime_score
Guna,2020,24.65,77.32,33,45,169,330,271,6,65,2823
Gwalior,2020,26.22,78.18,67,81,658,1122,703,137,162,8534
Harda,2020,22.34,77.1,16,1,138,50,43,27,27,828
Narmadapuram,2020,22.74,77.73,38,8,346,116,112,23,53,1909
Indore,2020,22.72,75.86,83,71,638,2724,467,135,147,12553
Jabalpur,2020,23.17,79.95,82,81,635,534,340,119,117,5449
Jhabua,2020,22.77,74.6,24,8,35,92,30,7,16,682
Katni,2020,23.83,80.4,32,14,57,92,98,40,24,1100
Khandwa (East Nimar),2020,21.82,76.35,44,7,76,107,99,0,28,1158
Khargone (West Nimar),2020,21.82,75.62,34,11,277,234,108,29,48,2092
Mandla,2020,22.6,80.38,40,1,59,44,66,13,21,783
Mandsaur,2020,24.07,75.07,26,12,461,212,87,42,23,2196
Morena,2020,26.5,77.99,61,23,162,371,149,37,46,2585
Narsimhapur,2020,22.95,79.2,24,9,181,55,64,7,27,1024
Neemuch,2020,24.47,74.87,14,9,59,75,51,18,11,693
Panna,2020,24.72,80.18,34,6,62,36,98,0,23,835
Raisen,2020,23.33,77.79,32,9,112,138,94,0,51,1371
Rajgarh,2020,23.85,76.73,26,19,78,187,90,21,57,1520
Ratlam,2020,23.33,75.04,29,14,153,170,102,54,43,1646
Rewa,2020,24.53,81.3,82,83,510,650,611,36,49,5862
Sagar,2020,23.84,78.74,79,37,163,223,170,41,74,2500
Satna,2020,24.6,80.83,63,31,172,258,207,36,51,2505
Seoni,2020,22.09,79.54,39,4,129,71,79,16,36,1131
Shahdol,2020,23.29,81.35,43,13,278,131,232,19,44,2170
Shajapur,2020,23.43,76.28,24,13,120,132,69,14,33,1208
Sheopur,2020,25.67,76.7,14,8,63,50,30,10,13,553
Shivpuri,2020,25.43,77.66,52,38,122,208,129,94,69,2200
Sidhi,2020,24.41,81.88,36,10,151,62,127,19,18,1217
Sehore,2020,23.2,77.08,24,11,137,226,128,19,49,1783
Singrauli,2020,24.2,82.66,53,8,342,61,95,7,38,1653
Tikamgarh,2020,24.74,78.83,27,5,156,50,46,30,24,935
Ujjain,2020,23.18,75.77,57,35,228,615,143,98,65,3676
Umaria,2020,23.52,80.84,19,3,41,27,47,8,16,507
Vidisha,2020,23.52,77.82,41,12,156,227,182,22,42,2046
Niwari,2020,25.08,79.05,13,4,56,25,31,14,10,439
Agar-Malwa,2021,23.71,76.01,12,2,81,89,63,12,12,770
Alirajpur,2021,22.31,74.36,51,9,25,102,40,19,43,1020
Anuppur,2021,23.16,81.69,41,2,207,51,95,65,44,1415
Ashoknagar,2021,24.57,77.72,30,8,108,79,84,22,27,1066
Balaghat,2021,21.81,80.19,46,13,207,131,174,28,87,2102
Barwani,2021,22.05,74.9,41,12,64,136,63,45,35,1243
Betul,2021,21.9,77.9,60,8,171,88,89,32,26,1399
Bhind,2021,26.56,78.79,32,43,158,257,220,82,31,2398
Bhopal,2021,23.26,77.41,67,124,2582,1335,591,476,241,13930
Burhanpur,2021,21.3,76.23,8,5,84,61,46,0,19,644
Chhatarpur,2021,24.92,79.59,43,18,358,123,221,30,50,2345
Chhindwara,2021,22.06,78.94,73,13,243,64,65,26,68,1682
Damoh,2021,23.84,79.44,34,10,64,103,146,0,31,1240
Datia,2021,25.66,78.46,28,15,89,81,68,39,23,1018
Dewas,2021,22.96,76.05,48,10,292,428,122,12,50,2788
Dhar,2021,22.6,75.3,63,21,307,656,197,60,131,4347
Dindori,2021,22.94,81.08,21,2,42,20,45,21,30,584
Guna,2021,24.65,77.32,33,28,124,262,83,32,119,2219
Gwalior,2021,26.22,78.18,88,96,618,1523,648,219,180,9911
Harda,2021,22.34,77.1,18,1,66,73,68,26,27,836
Narmadapuram,2021,22.74,77.73,49,23,217,165,137,30,63,2052
Indore,2021,22.72,75.86,81,96,1346,3980,643,197,203,18759
Jabalpur,2021,23.17,79.95,77,63,1696,708,464,117,101,8284
Jhabua,2021,22.77,74.6,26,12,36,96,40,16,40,890
Katni,2021,23.83,80.4,37,16,168,185,107,86,41,1838
Khandwa (East Nimar),2021,21.82,76.35,39,15,127,174,114,0,38,1563
Khargone (West Nimar),2021,21.82,75.62,35,21,206,243,132,36,47,2103
Mandla,2021,22.6,80.38,34,3,64,47,86,15,33,904
Mandsaur,2021,24.07,75.07,25,12,244,266,139,51,45,2203
Morena,2021,26.5,77.99,44,43,167,433,196,65,67,3078
Narsimhapur,2021,22.95,79.2,32,13,95,91,95,20,39,1195
Neemuch,2021,24.47,74.87,19,18,82,86,67,32,15,929
Panna,2021,24.72,80.18,27,7,140,66,150,0,42,1301
Raisen,2021,23.33,77.79,42,12,100,171,72,0,51,1442
Rajgarh,2021,23.85,76.73,25,28,87,173,85,37,74,1629
Ratlam,2021,23.33,75.04,34,12,189,287,127,61,44,2180
Rewa,2021,24.53,81.3,57,88,484,675,574,66,61,5789
Sagar,2021,23.84,78.74,73,25,149,298,210,82,87,2886
Satna,2021,24.6,80.83,58,23,156,275,179,58,51,2427
Seoni,2021,22.09,79.54,33,8,114,68,59,17,35,1015
Shahdol,2021,23.29,81.35,40,13,479,127,168,43,42,2391
Shajapur,2021,23.43,76.28,10,7,119,101,58,15,31,978
Sheopur,2021,25.67,76.7,9,9,67,67,50,9,18,674
Shivpuri,2021,25.43,77.66,58,51,191,280,204,69,95,2941
Sidhi,2021,24.41,81.88,28,5,322,75,27,18,32,1306
Sehore,2021,23.2,77.08,33,22,177,260,139,85,54,2244
Singrauli,2021,24.2,82.66,44,8,340,58,77,25,32,1547
Tikamgarh,2021,24.74,78.83,23,6,111,70,56,26,27,926
Ujjain,2021,23.18,75.77,37,47,338,768,186,111,55,4408
Umaria,2021,23.52,80.84,15,4,50,46,76,18,30,743
Vidisha,2021,23.52,77.82,41,11,220,277,210,27,67,2539
Niwari,2021,25.08,79.05,12,4,24,30,23,22,13,392
Agar-Malwa,2022,23.71,76.01,8,2,108,57,56,12,16,707
Alirajpur,2022,22.31,74.36,60,6,29,82,42,10,31,929
Anuppur,2022,23.16,81.69,29,12,234,80,80,20,40,1381
Ashoknagar,2022,24.57,77.72,19,2,43,52,77,35,20,746
Balaghat,2022,21.81,80.19,37,4,115,155,140,31,54,1648
Barwani,2022,22.05,74.9,37,13,57,147,67,0,46,1223
Betul,2022,21.9,77.9,66,7,164,89,109,28,35,1511
Bhind,2022,26.56,78.79,40,38,110,193,175,65,32,1966
Bhopal,2022,23.26,77.41,68,163,3974,1719,557,282,266,17662
Burhanpur,2022,21.3,76.23,14,7,80,82,47,0,26,775
Chhatarpur,2022,24.92,79.59,40,22,264,163,237,13,46,2272
Chhindwara,2022,22.06,78.94,49,11,201,85,113,42,52,1629
