district,year,lat,lng,murder,robbery,thefts,vehicle_theft,burglary,cheating,rape,crime_score
Nagpur,2020,21.15,79.08,142,182,2260,1450,781,432,114,14085
Nanded,2020,19.15,77.3,63,126,423,529,260,91,39,4409
Nandurbar,2020,21.87,74.23,31,20,126,185,80,21,17,1409
Nashik,2020,20.0,73.78,106,288,670,951,446,311,59,8130
Mumbai Suburban,2020,19.05,72.83,41,176,518,780,265,318,57,6001
Dharashiv,2020,18.18,76.03,35,35,269,186,145,46,20,2038
Palghar,2020,19.68,72.77,29,28,166,67,129,71,30,1469
Parbhani,2020,19.27,76.77,35,46,426,256,170,10,32,2669
Pune,2020,18.52,73.86,251,552,2913,3076,906,707,233,23814
Raigad,2020,18.65,72.88,21,20,280,108,89,121,18,1668
Ratnagiri,2020,16.98,73.3,17,14,170,63,74,83,10,1108
Sangli,2020,16.85,74.6,55,124,648,448,373,132,38,4984
Satara,2020,17.68,74.0,53,113,577,447,278,141,49,4573
Sindhudurg,2020,16.0,73.47,5,5,79,27,47,9,6,473
Solapur,2020,17.68,75.92,82,138,1354,890,524,253,93,8883
Thane,2020,19.22,72.98,145,625,1427,2361,1019,886,191,18946
Wardha,2020,20.73,78.6,38,23,391,181,88,11,24,2013
Washim,2020,20.1,77.13,35,25,199,131,55,37,24,1425
Yavatmal,2020,20.38,78.13,68,31,516,201,127,21,43,2737
Ahmednagar,2021,19.08,74.73,101,291,1645,1478,667,314,87,12457
Akola,2021,20.7,77.0,36,40,565,250,77,72,41,2800
Amravati,2021,20.93,77.75,70,63,1230,572,207,93,94,6055
Chhatrapati Sambhajinagar,2021,19.88,75.32,78,192,2951,1352,238,206,79,12637
Beed,2021,18.98,75.75,59,60,683,573,170,78,59,4581
Bhandara,2021,21.17,79.65,30,11,331,146,109,27,29,1820
Buldhana,2021,20.53,76.18,47,71,847,394,209,60,43,4357
Chandrapur,2021,19.95,79.3,48,49,577,316,173,61,41,3384
Dhule,2021,20.9,74.77,40,42,250,351,157,94,14,2650
Gadchiroli,2021,20.18,80.0,39,6,154,108,90,36,14,1263
Gondia,2021,21.45,80.2,30,16,235,162,93,5,33,1624
Hingoli,2021,19.72,77.15,23,18,236,131,75,25,16,1407
Jalgaon,2021,21.0,75.57,63,160,983,798,352,165,42,6911
Jalna,2021,19.83,75.88,54,83,731,524,196,13,35,4425
Kolhapur,2021,16.7,74.23,50,125,820,721,277,153,74,6060
Latur,2021,18.4,76.57,56,116,381,477,171,43,27,3671
Mumbai,2021,19.08,72.88,172,1472,10368,3291,1466,3546,369,50692
Nagpur,2021,21.15,79.08,152,237,2508,1837,908,411,142,16491
Nanded,2021,19.15,77.3,73,169,509,769,250,97,54,5580
Nandurbar,2021,21.87,74.23,32,19,137,198,122,26,7,1557
Nashik,2021,20.0,73.78,92,249,670,1192,417,184,65,8316
Mumbai Suburban,2021,19.05,72.83,45,213,680,973,335,457,93,7740
Dharashiv,2021,18.18,76.03,33,38,451,291,169,49,35,2872
Palghar,2021,19.68,72.77,31,32,231,125,119,36,26,1679
Parbhani,2021,19.27,76.77,29,48,590,367,185,46,25,3390
Pune,2021,18.52,73.86,291,837,3303,4007,1118,1032,275,30223
Raigad,2021,18.65,72.88,38,23,274,133,144,103,23,1982
Ratnagiri,2021,16.98,73.3,12,23,173,57,98,59,19,1176
Sangli,2021,16.85,74.6,68,153,999,717,426,238,68,7195
Satara,2021,17.68,74.0,55,118,576,575,279,93,42,4857
Sindhudurg,2021,16.0,73.47,9,9,111,29,53,10,7,604
Solapur,2021,17.68,75.92,90,134,1732,1149,462,234,111,10306
Thane,2021,19.22,72.98,162,836,2071,3068,1226,1030,310,24788
Wardha,2021,20.73,78.6,33,33,448,144,109,7,16,2046
Washim,2021,20.1,77.13,22,26,310,146,64,33,16,1610
Yavatmal,2021,20.38,78.13,67,55,718,319,145,63,65,3834
Ahmednagar,2022,19.08,74.73,94,342,2096,1947,666,249,112,14927
Akola,2022,20.7,77.0,37,40,498,291,83,83,28,2769
Amravati,2022,20.93,77.75,87,91,1525,687,248,188,90,7480
Chhatrapati Sambhajinagar,2022,19.88,75.32,89,248,4636,1387,227,256,81,16468
Beed,2022,18.98,75.75,60,62,608,561,193,0,52,4286
Bhandara,2022,21.17,79.65,34,13,445,141,107,18,39,2087
Buldhana,2022,20.53,76.18,50,60,859,381,166,64,51,4232
Chandrapur,2022,19.95,79.3,55,47,647,358,214,71,38,3805
Dhule,2022,20.9,74.77,39,65,348,367,183,21,16,2923
Gadchiroli,2022,20.18,80.0,39,3,154,124,100,26,17,1324
Gondia,2022,21.45,80.2,20,14,240,171,119,11,36,1708
Hingoli,2022,19.72,77.15,25,20,235,121,63,16,15,1334
Jalgaon,2022,21.0,75.57,73,132,1115,942,344,175,41,7536
Jalna,2022,19.83,75.88,51,122,887,573,202,82,54,5276
Kolhapur,2022,16.7,74.23,51,110,882,897,401,268,50,7139
Latur,2022,18.4,76.57,39,87,318,522,210,42,32,3619
Mumbai,2022,19.08,72.88,141,1612,27372,3093,1378,3324,371,83813
Nagpur,2022,21.15,79.08,109,212,3185,1929,853,417,150,17693
Nanded,2022,19.15,77.3,82,140,486,787,279,98,39,5531
Nandurbar,2022,21.87,74.23,32,22,197,251,136,40,17,1968
Nashik,2022,20.0,73.78,117,233,968,1427,444,102,66,9600
Mumbai Suburban,2022,19.05,72.83,39,260,767,1016,303,454,105,8159
Dharashiv,2022,18.18,76.03,37,42,433,266,119,57,43,2703
Palghar,2022,19.68,72.77,31,26,295,114,124,50,35,1838
Parbhani,2022,19.27,76.77,49,51,483,366,166,58,26,3257
Pune,2022,18.52,73.86,295,1053,4990,4757,1418,1465,536,39802
Raigad,2022,18.65,72.88,38,36,338,135,141,48,33,2099
Ratnagiri,2022,16.98,73.3,16,11,204,45,88,65,14,1131
Sangli,2022,16.85,74.6,56,147,1085,868,393,171,67,7498
Satara,2022,17.68,74.0,40,111,690,614,281,153,57,5300
Sindhudurg,2022,16.0,73.47,4,3,122,39,62,19,8,657
Solapur,2022,17.68,75.92,69,99,1581,1190,450,251,96,9805
Thane,2022,19.22,72.98,158,852,2574,2949,1259,1566,375,26977
Wardha,2022,20.73,78.6,44,32,385,176,100,16,27,2113
Washim,2022,20.1,77.13,17,32,347,157,59,47,21,1754
Yavatmal,2022,20.38,78.13,78,60,920,364,223,114,66,4789
