district,year,lat,lng,murder,robbery,thefts,vehicle_theft,burglary,cheating,rape,crime_score
Nagaon,2020,26.35,92.68,65,37,524,186,186,0,77,3022
Nalbari,2020,26.44,91.44,13,35,53,139,76,60,49,1321
Sivasagar,2020,26.98,94.64,27,26,313,98,56,161,8,1689
Sonitpur,2020,26.54,92.8,44,76,233,153,115,288,41,2575
Tinsukia,2020,27.49,95.35,67,123,531,147,164,206,37,3419
Udalguri,2020,26.75,92.1,31,18,183,46,0,43,29,962
Majuli,2020,26.95,94.15,8,2,16,2,8,14,2,148
Biswanath,2020,26.73,93.15,26,5,91,33,38,25,29,740
Hojai,2020,26.0,92.84,35,24,132,60,106,147,59,1622
South Salmara Mancachar,2020,25.7,89.95,17,2,32,3,47,37,60,681
Charaideo,2020,27.0,94.73,25,6,68,12,16,31,18,521
Kamrup Metro,2021,26.14,91.74,74,846,3036,1667,960,1288,67,20618
Barpeta,2021,26.32,91.0,48,63,546,206,267,373,121,4354
Baksa,2021,26.7,91.2,28,12,92,35,65,68,29,953
Bongaigaon,2021,26.48,90.56,18,59,192,190,105,179,53,2218
Cachar,2021,24.8,92.85,52,84,700,251,293,124,51,4131
Chirang,2021,26.5,90.47,13,16,102,21,63,75,30,885
Darrang,2021,26.43,92.05,22,13,194,40,99,198,73,1728
Dhemaji,2021,27.47,94.57,23,26,138,54,34,111,29,1126
Dhubri,2021,26.02,89.97,36,47,823,77,167,433,159,4407
Dibrugarh,2021,27.47,94.91,73,40,620,141,163,332,28,3481
Goalpara,2021,26.17,90.62,40,19,252,72,91,138,41,1750
Golaghat,2021,26.52,93.96,41,8,267,89,66,114,38,1654
Hailakandi,2021,24.68,92.56,15,25,301,47,75,78,123,1914
West Karbi Anglong,2021,25.89,93.0,10,0,28,0,5,7,6,165
Jorhat,2021,26.75,94.21,38,74,662,247,229,224,31,3841
Kamrup,2021,26.11,91.27,65,117,765,262,141,23,109,4123
Karbi Anglong,2021,26.2,93.73,35,7,107,114,25,45,21,1029
Karimganj,2021,24.87,92.35,45,21,326,110,168,93,49,2226
Kokrajhar,2021,26.4,90.27,28,8,183,128,67,115,41,1558
Lakhimpur,2021,27.23,94.11,46,23,188,50,154,234,50,2028
Marigaon,2021,26.24,92.33,32,45,314,100,188,237,98,2796
Dima Hasao,2021,25.36,93.1,7,4,24,12,6,31,3,230
Nagaon,2021,26.35,92.68,78,86,527,187,408,344,116,4841
Nalbari,2021,26.44,91.44,27,39,324,59,100,148,23,1827
Sivasagar,2021,26.98,94.64,26,16,353,76,48,161,15,1669
Sonitpur,2021,26.54,92.8,58,42,277,142,161,412,70,3095
Tinsukia,2021,27.49,95.35,74,84,670,129,180,260,83,3908
Udalguri,2021,26.75,92.1,36,12,180,19,45,44,19,963
Majuli,2021,26.95,94.15,3,1,12,0,16,13,2,127
Biswanath,2021,26.73,93.15,30,14,89,31,45,36,24,804
Hojai,2021,26.0,92.84,28,22,212,90,81,0,64,1485
South Salmara Mancachar,2021,25.7,89.95,15,3,75,31,68,69,52,932
Charaideo,2021,27.0,94.73,28,9,75,20,21,49,15,622
Kamrup Metro,2022,26.14,91.74,89,234,1857,1243,500,648,63,11935
Barpeta,2022,26.32,91.0,31,10,124,104,91,96,29,1365
Baksa,2022,26.7,91.2,15,8,24,24,16,17,7,344
Bongaigaon,2022,26.48,90.56,21,34,110,160,51,68,22,1340
Cachar,2022,24.8,92.85,60,30,704,243,167,129,45,3541
Chirang,2022,26.5,90.47,14,5,57,48,19,56,18,607
Darrang,2022,26.43,92.05,31,14,110,57,60,132,61,1351
Dhemaji,2022,27.47,94.57,17,9,57,54,24,24,22,627
Dhubri,2022,26.02,89.97,35,19,222,64,80,3,39,1328
Dibrugarh,2022,27.47,94.91,56,12,324,127,131,93,18,2026
Goalpara,2022,26.17,90.62,23,4,106,154,59,116,45,1439
Golaghat,2022,26.52,93.96,23,1,84,29,46,33,22,688
Hailakandi,2022,24.68,92.56,13,6,105,43,42,26,40,806
West Karbi Anglong,2022,25.89,93.0,7,1,35,3,0,6,6,160
Jorhat,2022,26.75,94.21,37,21,219,185,71,156,27,1922
Kamrup,2022,26.11,91.27,50,59,361,212,38,158,98,2764
Karbi Anglong,2022,26.2,93.73,25,5,48,71,13,13,8,559
Karimganj,2022,24.87,92.35,32,5,149,59,113,74,61,1447
Kokrajhar,2022,26.4,90.27,37,8,110,104,31,40,36,1102
Lakhimpur,2022,27.23,94.11,35,14,164,41,110,57,16,1206
Marigaon,2022,26.24,92.33,30,12,210,63,94,144,49,1622
Dima Hasao,2022,25.36,93.1,5,7,20,3,11,29,3,208
Nagaon,2022,26.35,92.68,58,42,384,185,278,140,65,3220
Nalbari,2022,26.44,91.44,19,23,212,42,83,89,20,1264
Sivasagar,2022,26.98,94.64,28,4,138,85,36,37,15,944
Sonitpur,2022,26.54,92.8,62,34,171,90,50,216,68,1980
Tinsukia,2022,27.49,95.35,61,55,572,122,182,181,74,3313
Udalguri,2022,26.75,92.1,25,4,51,56,27,21,21,639
Majuli,2022,26.95,94.15,4,0,18,0,19,16,3,160
Biswanath,2022,26.73,93.15,35,2,55,17,21,29,15,540
Hojai,2022,26.0,92.84,27,14,142,47,65,0,46,1041
South Salmara Mancachar,2022,25.7,89.95,16,1,48,30,27,32,32,575
Charaideo,2022,27.0,94.73,33,2,63,11,9,15,7,424
Bajali,2022,26.46,90.79,3,3,25,22,37,25,4,324
Tamulpur,2022,26.55,90.95,15,3,20,26,11,11,8,300
