district,year,lat,lng,murder,robbery,thefts,vehicle_theft,burglary,cheating,rape,crime_score
Mau,2019,25.94,83.56,22,19,79,136,85,199,19,1500
Meerut,2019,28.99,77.7,123,96,1153,1528,157,0,99,8855
Mirzapur,2019,25.15,82.57,25,6,84,116,61,28,17,989
Moradabad,2019,28.84,78.78,46,26,339,368,92,0,83,2807
Muzaffarnagar,2019,29.47,77.7,70,50,227,227,55,39,72,2288
Pilibhit,2019,28.63,79.8,46,18,129,112,86,110,63,1689
Pratapgarh,2019,25.9,81.98,73,55,171,286,155,45,61,2645
Rae Bareli,2019,26.23,81.24,39,23,192,217,140,132,74,2376
Rampur,2019,28.81,79.03,33,8,93,110,40,0,39,1028
Saharanpur,2019,29.97,77.55,48,44,216,261,50,187,34,2325
Sambhal,2019,28.59,78.58,46,15,108,107,29,71,33,1221
Sant Kabir Nagar,2019,26.79,83.03,14,8,50,59,30,41,16,631
Shahjahanpur,2019,27.88,79.91,69,21,128,81,66,175,74,1846
Shamli,2019,29.45,77.31,32,20,98,157,19,0,19,1059
Shrawasti,2019,27.44,82.06,9,3,34,22,35,7,3,325
Siddharthnagar,2019,27.3,83.05,9,3,41,51,42,41,13,565
Sitapur,2019,27.56,80.68,91,38,321,334,243,214,76,3788
Sonbhadra,2019,24.69,83.07,43,11,97,55,50,79,39,1121
Bhadohi,2019,25.39,82.57,21,9,53,96,44,67,12,861
Sultanpur,2019,26.26,82.07,43,17,207,278,151,28,52,2300
Unnao,2019,26.55,80.49,57,30,182,186,122,118,53,2194
Varanasi,2019,25.32,83.01,50,24,514,1150,318,598,70,7324
Farrukhabad,2019,27.39,79.57,59,20,93,134,75,40,35,1443
Gautam Buddha Nagar,2019,28.53,77.39,97,179,1727,2404,158,26,99,12888
Agra,2020,27.18,78.01,113,56,475,1208,257,282,80,7098
Aligarh,2020,27.88,78.08,110,132,373,556,165,0,74,4357
Prayagraj,2020,25.44,81.84,108,72,543,963,536,416,121,7848
Ambedkar Nagar,2020,26.45,82.54,32,9,140,63,51,77,22,1082
Amethi,2020,26.15,81.82,34,19,111,81,58,61,33,1172
Amroha,2020,28.9,78.47,43,15,119,107,25,46,34,1171
Auraiya,2020,26.47,79.51,33,16,73,111,44,47,28,1074
